2022-04-19 13:42:00,936 - INFO - **************common.configs**********
2022-04-19 13:42:00,936 - INFO - use_gpu: True, use_xpu: False, use_npu: False, use_visual: False, train_batch_size: 2000, train_data_dir: ./data/whole_data/train, epochs: 6, print_interval: 100, model_save_path: output_model_aitm2/
2022-04-19 13:42:00,936 - INFO - **************common.configs**********
W0419 13:42:00.938179 38848 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 5.2, Driver API Version: 11.6, Runtime API Version: 10.1
W0419 13:42:00.946969 38848 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2022-04-19 13:42:03,061 - INFO - read data
2022-04-19 13:42:03,062 - INFO - reader path:reader
start load data from: /home/xianglingyang/project/paddle_family/paddle_reproduction/PaddleRec/models/rank/aitm/./data/whole_data/train/ctr_cvr.train
load data from /home/xianglingyang/project/paddle_family/paddle_reproduction/PaddleRec/models/rank/aitm/./data/whole_data/train/ctr_cvr.train finished
2022-04-19 13:51:24,488 - INFO - epoch: 0, batch_id: 5100, click_auc:0.519963, purchase_auc:0.503675, loss:0.19215313, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.22204 sec, avg_samples: 2000.00000, ips: 9007.56625 ins/s
2022-04-19 13:51:30,000 - INFO - epoch: 0, batch_id: 5200, click_auc:0.520722, purchase_auc:0.503437, loss:0.17881793, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05362 sec, avg_samples: 2000.00000, ips: 37299.43558 ins/s
2022-04-19 13:51:35,239 - INFO - epoch: 0, batch_id: 5300, click_auc:0.521481, purchase_auc:0.503115, loss:0.1675727, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05091 sec, avg_samples: 2000.00000, ips: 39285.75543 ins/s
2022-04-19 13:51:40,637 - INFO - epoch: 0, batch_id: 5400, click_auc:0.522250, purchase_auc:0.503010, loss:0.15693928, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.05245 sec, avg_samples: 2000.00000, ips: 38133.91909 ins/s
2022-04-19 13:51:46,287 - INFO - epoch: 0, batch_id: 5500, click_auc:0.523098, purchase_auc:0.502513, loss:0.14683579, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.05485 sec, avg_samples: 2000.00000, ips: 36461.19583 ins/s
2022-04-19 13:51:52,297 - INFO - epoch: 0, batch_id: 5600, click_auc:0.523845, purchase_auc:0.503298, loss:0.17865074, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.05857 sec, avg_samples: 2000.00000, ips: 34146.99018 ins/s
2022-04-19 13:51:57,821 - INFO - epoch: 0, batch_id: 5700, click_auc:0.524656, purchase_auc:0.502513, loss:0.1424487, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.05375 sec, avg_samples: 2000.00000, ips: 37207.93247 ins/s
2022-04-19 13:52:03,633 - INFO - epoch: 0, batch_id: 5800, click_auc:0.525421, purchase_auc:0.502566, loss:0.19694956, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.05640 sec, avg_samples: 2000.00000, ips: 35459.52775 ins/s
2022-04-19 13:52:08,809 - INFO - epoch: 0, batch_id: 5900, click_auc:0.526138, purchase_auc:0.502562, loss:0.17693444, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.05050 sec, avg_samples: 2000.00000, ips: 39603.89720 ins/s
2022-04-19 13:52:14,482 - INFO - epoch: 0, batch_id: 6000, click_auc:0.527041, purchase_auc:0.502785, loss:0.16343929, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.05521 sec, avg_samples: 2000.00000, ips: 36225.73353 ins/s
