2022-04-19 14:10:40,207 - INFO - **************common.configs**********
2022-04-19 14:10:40,207 - INFO - use_gpu: True, use_xpu: False, use_npu: False, use_visual: False, infer_batch_size: 2000, test_data_dir: ./data/whole_data/test, start_epoch: 0, end_epoch: 6, print_interval: 100, model_load_path: output_model_aitm2/
2022-04-19 14:10:40,207 - INFO - **************common.configs**********
W0419 14:10:40.208701 40137 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 5.2, Driver API Version: 11.6, Runtime API Version: 10.1
W0419 14:10:40.213891 40137 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2022-04-19 14:10:42,402 - INFO - read data
2022-04-19 14:10:42,402 - INFO - reader path:reader
start load data from: /home/xianglingyang/project/paddle_family/paddle_reproduction/PaddleRec/models/rank/aitm/./data/whole_data/test/ctr_cvr.test
load data from /home/xianglingyang/project/paddle_family/paddle_reproduction/PaddleRec/models/rank/aitm/./data/whole_data/test/ctr_cvr.test finished
2022-04-19 14:15:15,283 - INFO - load model epoch 0
2022-04-19 14:15:15,283 - INFO - start load model from output_model_aitm2/0
2022-04-19 14:21:22,305 - INFO - epoch: 0, batch_id: 7300, click_auc: 0.618389,purchase_auc: 0.609916, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.21925 sec, avg_samples: 2000.00000, ips: 9073.49 ins/s
2022-04-19 14:21:26,315 - INFO - epoch: 0, batch_id: 7400, click_auc: 0.618384,purchase_auc: 0.609725, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.03916 sec, avg_samples: 2000.00000, ips: 49874.07 ins/s
2022-04-19 14:21:30,096 - INFO - epoch: 0, batch_id: 7500, click_auc: 0.618410,purchase_auc: 0.609683, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.03668 sec, avg_samples: 2000.00000, ips: 52905.18 ins/s
2022-04-19 14:21:34,343 - INFO - epoch: 0, batch_id: 7600, click_auc: 0.618370,purchase_auc: 0.609323, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04120 sec, avg_samples: 2000.00000, ips: 47097.09 ins/s
2022-04-19 14:21:38,528 - INFO - epoch: 0, batch_id: 7700, click_auc: 0.618313,purchase_auc: 0.608937, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04092 sec, avg_samples: 2000.00000, ips: 47783.56 ins/s
2022-04-19 14:21:42,276 - INFO - epoch: 0, batch_id: 7800, click_auc: 0.618297,purchase_auc: 0.608655, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.03656 sec, avg_samples: 2000.00000, ips: 53369.20 ins/s
2022-04-19 14:21:46,251 - INFO - epoch: 0, batch_id: 7900, click_auc: 0.618338,purchase_auc: 0.608320, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.03862 sec, avg_samples: 2000.00000, ips: 50321.06 ins/s
2022-04-19 14:21:50,485 - INFO - epoch: 0, batch_id: 8000, click_auc: 0.618371,purchase_auc: 0.608525, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04121 sec, avg_samples: 2000.00000, ips: 47235.26 ins/s
2022-04-19 14:21:54,793 - INFO - epoch: 0, batch_id: 8100, click_auc: 0.618400,purchase_auc: 0.608497, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04216 sec, avg_samples: 2000.00000, ips: 46425.58 ins/s
2022-04-19 14:21:59,158 - INFO - epoch: 0, batch_id: 8200, click_auc: 0.618435,purchase_auc: 0.608732, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04240 sec, avg_samples: 2000.00000, ips: 45817.54 ins/s
2022-04-19 14:22:02,993 - INFO - epoch: 0, batch_id: 8300, click_auc: 0.618435,purchase_auc: 0.608673, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.03742 sec, avg_samples: 2000.00000, ips: 52159.16 ins/s
2022-04-19 14:22:06,636 - INFO - epoch: 0, batch_id: 8400, click_auc: 0.618511,purchase_auc: 0.608621, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.03550 sec, avg_samples: 2000.00000, ips: 54899.57 ins/s
2022-04-19 14:22:09,709 - INFO - epoch: 0, batch_id: 8500, click_auc: 0.618494,purchase_auc: 0.608883, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.02979 sec, avg_samples: 2000.00000, ips: 65093.78 ins/s
