2021-12-20 18:41:12,287 - INFO - **************common.configs**********
2021-12-20 18:41:12,287 - INFO - use_gpu: True, use_xpu: False, use_visual: False, infer_batch_size: 2000, test_data_dir: data/whole_data/test, start_epoch: 0, end_epoch: 1, print_interval: 50, model_load_path: output_model_all_autodeepfm
2021-12-20 18:41:12,287 - INFO - **************common.configs**********
W1220 18:41:12.289043 17996 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
W1220 18:41:12.294060 17996 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2021-12-20 18:41:17,189 - INFO - read data
2021-12-20 18:41:17,189 - INFO - reader path:criteo_reader
2021-12-20 18:41:19,038 - INFO - load model epoch 0
2021-12-20 18:41:19,038 - INFO - start load model from output_model_all_autodeepfm/0
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/tensor/creation.py:130: DeprecationWarning: `np.object` is a deprecated alias for the builtin `object`. To silence this warning, use `object` by itself. Doing this will not modify any behavior and is safe. 
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  if data.dtype == np.object:
2021-12-20 18:43:43,384 - INFO - epoch: 0, batch_id: 2650, auc: 0.804664, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05412 sec, avg_samples: 2000.00000, ips: 36903.31 ins/s
2021-12-20 18:43:46,120 - INFO - epoch: 0, batch_id: 2700, auc: 0.804640, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05463 sec, avg_samples: 2000.00000, ips: 36558.97 ins/s
2021-12-20 18:43:48,847 - INFO - epoch: 0, batch_id: 2750, auc: 0.804622, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.05447 sec, avg_samples: 2000.00000, ips: 36663.99 ins/s
2021-12-20 18:43:51,623 - INFO - epoch: 0, batch_id: 2800, auc: 0.804593, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.05538 sec, avg_samples: 2000.00000, ips: 36033.23 ins/s
2021-12-20 18:43:54,350 - INFO - epoch: 0, batch_id: 2850, auc: 0.804575, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.05447 sec, avg_samples: 2000.00000, ips: 36670.96 ins/s
2021-12-20 18:43:57,057 - INFO - epoch: 0, batch_id: 2900, auc: 0.804559, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05406 sec, avg_samples: 2000.00000, ips: 36950.00 ins/s
2021-12-20 18:43:59,793 - INFO - epoch: 0, batch_id: 2950, auc: 0.804483, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.05464 sec, avg_samples: 2000.00000, ips: 36557.18 ins/s
2021-12-20 18:44:02,512 - INFO - epoch: 0, batch_id: 3000, auc: 0.804412, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05431 sec, avg_samples: 2000.00000, ips: 36777.42 ins/s
2021-12-20 18:44:05,184 - INFO - epoch: 0, batch_id: 3050, auc: 0.804353, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.05337 sec, avg_samples: 2000.00000, ips: 37424.52 ins/s
2021-12-20 18:44:07,848 - INFO - epoch: 0, batch_id: 3100, auc: 0.804273, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05319 sec, avg_samples: 2000.00000, ips: 37548.92 ins/s
