2021-12-20 16:34:03,274 - INFO - **************common.configs**********
2021-12-20 16:34:03,274 - INFO - use_gpu: True, use_xpu: False, use_visual: False, train_batch_size: 2000, train_data_dir: data/whole_data/train, epochs: 1, print_interval: 50, model_save_path: output_model_all_autodeepfm
2021-12-20 16:34:03,274 - INFO - **************common.configs**********
W1220 16:34:03.276041  5239 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
W1220 16:34:03.281190  5239 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2021-12-20 16:34:09,232 - INFO - read data
2021-12-20 16:34:09,232 - INFO - reader path:criteo_reader
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/tensor/creation.py:130: DeprecationWarning: `np.object` is a deprecated alias for the builtin `object`. To silence this warning, use `object` by itself. Doing this will not modify any behavior and is safe. 
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  if data.dtype == np.object:
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/fluid/dygraph/varbase_patch_methods.py:392: UserWarning: [93m
Warning:
tensor.grad will return the tensor value of the gradient. This is an incompatible upgrade for tensor.grad API.  It's return type changes from numpy.ndarray in version 2.0 to paddle.Tensor in version 2.1.0.  If you want to get the numpy value of the gradient, you can use :code:`x.grad.numpy()` [0m
  warnings.warn(warning_msg)
2021-12-20 16:39:43,917 - INFO - epoch: 0, batch_id: 2400, lr: 0.001, auc:0.754530, loss:0.5546906, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.08616 sec, avg_samples: 2000.00000, ips: 23211.96818 ins/s
2021-12-20 16:39:48,009 - INFO - epoch: 0, batch_id: 2450, lr: 0.001, auc:0.755020, loss:0.5517136, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.08147 sec, avg_samples: 2000.00000, ips: 24547.85244 ins/s
2021-12-20 16:39:52,120 - INFO - epoch: 0, batch_id: 2500, lr: 0.001, auc:0.755486, loss:0.57713866, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.08188 sec, avg_samples: 2000.00000, ips: 24426.45523 ins/s
2021-12-20 16:39:56,274 - INFO - epoch: 0, batch_id: 2550, lr: 0.001, auc:0.755920, loss:0.5670537, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.08273 sec, avg_samples: 2000.00000, ips: 24176.38234 ins/s
2021-12-20 16:40:00,388 - INFO - epoch: 0, batch_id: 2600, lr: 0.001, auc:0.756394, loss:0.56878406, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.08191 sec, avg_samples: 2000.00000, ips: 24416.06097 ins/s
2021-12-20 16:40:04,531 - INFO - epoch: 0, batch_id: 2650, lr: 0.001, auc:0.756802, loss:0.5483294, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.08252 sec, avg_samples: 2000.00000, ips: 24236.86006 ins/s
2021-12-20 16:40:08,633 - INFO - epoch: 0, batch_id: 2700, lr: 0.001, auc:0.757184, loss:0.55106485, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.08169 sec, avg_samples: 2000.00000, ips: 24482.27592 ins/s
2021-12-20 16:40:12,708 - INFO - epoch: 0, batch_id: 2750, lr: 0.001, auc:0.757624, loss:0.5570762, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.08117 sec, avg_samples: 2000.00000, ips: 24640.54523 ins/s
2021-12-20 16:40:16,787 - INFO - epoch: 0, batch_id: 2800, lr: 0.001, auc:0.758024, loss:0.55677444, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.08126 sec, avg_samples: 2000.00000, ips: 24611.36345 ins/s
2021-12-20 16:40:20,892 - INFO - epoch: 0, batch_id: 2850, lr: 0.001, auc:0.758399, loss:0.5680006, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.08175 sec, avg_samples: 2000.00000, ips: 24464.37603 ins/s
