2021-12-20 17:38:28,908 - INFO - **************common.configs**********
2021-12-20 17:38:28,908 - INFO - use_gpu: True, use_xpu: False, use_visual: False, train_batch_size: 2000, train_data_dir: data/whole_data/train, epochs: 1, print_interval: 50, model_save_path: output_model_all_autodeepfm
2021-12-20 17:38:28,908 - INFO - **************common.configs**********
W1220 17:38:28.909716 11696 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
W1220 17:38:28.914793 11696 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2021-12-20 17:38:35,125 - INFO - read data
2021-12-20 17:38:35,125 - INFO - reader path:criteo_reader
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/tensor/creation.py:130: DeprecationWarning: `np.object` is a deprecated alias for the builtin `object`. To silence this warning, use `object` by itself. Doing this will not modify any behavior and is safe. 
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  if data.dtype == np.object:
2021-12-20 17:46:38,191 - INFO - epoch: 0, batch_id: 3150, lr: 0.001, auc:0.772790, loss:0.55645335, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14574 sec, avg_samples: 2000.00000, ips: 13722.73454 ins/s
2021-12-20 17:46:45,558 - INFO - epoch: 0, batch_id: 3200, lr: 0.001, auc:0.772973, loss:0.5648631, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14605 sec, avg_samples: 2000.00000, ips: 13694.21940 ins/s
2021-12-20 17:46:52,964 - INFO - epoch: 0, batch_id: 3250, lr: 0.001, auc:0.773159, loss:0.57513773, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14688 sec, avg_samples: 2000.00000, ips: 13616.11241 ins/s
2021-12-20 17:47:00,435 - INFO - epoch: 0, batch_id: 3300, lr: 0.001, auc:0.773377, loss:0.5378385, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.14819 sec, avg_samples: 2000.00000, ips: 13496.48502 ins/s
2021-12-20 17:47:08,163 - INFO - epoch: 0, batch_id: 3350, lr: 0.001, auc:0.773528, loss:0.54798484, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.15307 sec, avg_samples: 2000.00000, ips: 13066.12053 ins/s
2021-12-20 17:47:15,568 - INFO - epoch: 0, batch_id: 3400, lr: 0.001, auc:0.773703, loss:0.53941387, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.14686 sec, avg_samples: 2000.00000, ips: 13618.69344 ins/s
2021-12-20 17:47:21,454 - INFO - epoch: 0, batch_id: 3450, lr: 0.001, auc:0.773866, loss:0.55613947, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.11697 sec, avg_samples: 2000.00000, ips: 17098.07715 ins/s
2021-12-20 17:47:25,310 - INFO - epoch: 0, batch_id: 3500, lr: 0.001, auc:0.774030, loss:0.556695, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.07636 sec, avg_samples: 2000.00000, ips: 26190.98035 ins/s
2021-12-20 17:47:29,088 - INFO - epoch: 0, batch_id: 3550, lr: 0.001, auc:0.774179, loss:0.54517865, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.07489 sec, avg_samples: 2000.00000, ips: 26705.83068 ins/s
2021-12-20 17:47:32,867 - INFO - epoch: 0, batch_id: 3600, lr: 0.001, auc:0.774339, loss:0.5641025, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.07482 sec, avg_samples: 2000.00000, ips: 26729.21640 ins/s
2021-12-20 17:47:36,619 - INFO - epoch: 0, batch_id: 3650, lr: 0.001, auc:0.774518, loss:0.5470049, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.07430 sec, avg_samples: 2000.00000, ips: 26919.04124 ins/s
2021-12-20 17:47:40,411 - INFO - epoch: 0, batch_id: 3700, lr: 0.001, auc:0.774630, loss:0.5679449, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.07511 sec, avg_samples: 2000.00000, ips: 26628.80749 ins/s
